Deltona-Daytona Beach-Ormond Beach_FL,Deltona-Daytona Beach-Ormond Beach,FL,5413,1
Lancaster_PA,Lancaster,PA,498465,1
Provo-Orem_UT,Provo-Orem,UT,493306,1
Durham_NC,Durham,NC,479624,1
Santa Rosa-Petaluma_CA,Santa Rosa-Petaluma,CA,464435,1
Winston-Salem_NC,Winston-Salem,NC,463159,1
Lansing-East Lansing_MI,Lansing-East Lansing,MI,456440,1
Spokane_WA,Spokane,WA,456175,1
Pensacola-Ferry Pass-Brent_FL,Pensacola-Ferry Pass-Brent,FL,453451,1
Lexington-Fayette_KY,Lexington-Fayette,KY,447173,1
Fayetteville-Springdale-Rogers_AR-MO,Fayetteville-Springdale-Rogers,AR-MO,435714,1
Flint_MI,Flint,MI,434715,1
Visalia-Porterville_CA,Visalia-Porterville,CA,421553,1
York-Hanover_PA,York-Hanover,PA,421049,1
Springfield_MO,Springfield,MO,420020,1
Corpus Christi_TX,Corpus Christi,TX,414376,1
Reno-Sparks_NV,Reno-Sparks,NV,410272,1
Fort Wayne_IN,Fort Wayne,IN,410070,1
Vallejo-Fairfield_CA,Vallejo-Fairfield,CA,408599,1
Salinas_CA,Salinas,CA,407637,1
Canton-Massillon_OH,Canton-Massillon,OH,407180,1
Mobile_AL,Mobile,AL,404406,1
Asheville_NC,Asheville,NC,404320,1
Santa Barbara-Santa Maria-Goleta_CA,Santa Barbara-Santa Maria-Goleta,CA,404197,1
Manchester-Nashua_NH,Manchester-Nashua,NH,402302,1
Reading_PA,Reading,PA,401955,1
Port St. Lucie_FL,Port St. Lucie,FL,4121,1
Shreveport-Bossier City_LA,Shreveport-Bossier City,LA,387583,1
Brownsville-Harlingen_TX,Brownsville-Harlingen,TX,387210,1
Salem_OR,Salem,OR,386714,1
Huntsville_AL,Huntsville,AL,386632,1
Beaumont-Port Arthur_TX,Beaumont-Port Arthur,TX,376241,1
Davenport-Moline-Rock Island_IA-IL,Davenport-Moline-Rock Island,IA-IL,376160,1
Peoria_IL,Peoria,IL,371206,1
Killeen-Temple-Fort Hood_TX,Killeen-Temple-Fort Hood,TX,370008,1
Montgomery_AL,Montgomery,AL,365962,1
Trenton-Ewing_NJ,Trenton-Ewing,NJ,365449,1
Anchorage_AK,Anchorage,AK,362340,1
Hickory-Lenoir-Morganton_NC,Hickory-Lenoir-Morganton,NC,360471,1
Tallahassee_FL,Tallahassee,FL,352319,1
Rockford_IL,Rockford,IL,352290,1
Ann Arbor_MI,Ann Arbor,MI,350003,1
Evansville_IN-KY,Evansville,IN-KY,349717,1
Fayetteville_NC,Fayetteville,NC,348940,1
Eugene-Springfield_OR,Eugene-Springfield,OR,343591,1
Wilmington_NC,Wilmington,NC,339511,1
Savannah_GA,Savannah,GA,329329,1
Ocala_FL,Ocala,FL,324857,1
Kalamazoo-Portage_MI,Kalamazoo-Portage,MI,323264,1
South Bend-Mishawaka_IN-MI,South Bend-Mishawaka,IN-MI,316639,1
Naples-Marco Island_FL,Naples-Marco Island,FL,315839,1
Charleston_WV,Charleston,WV,303950,1
Kingsport-Bristol-Bristol_TN-VA,Kingsport-Bristol-Bristol,TN-VA,303686,1
Green Bay_WI,Green Bay,WI,301131,1
Roanoke_VA,Roanoke,VA,296532,1
Utica-Rome_NY,Utica-Rome,NY,294862,1
Lincoln_NE,Lincoln,NE,292219,1
Boulder_CO,Boulder,CO,290262,1
Fort Smith_AR-OK,Fort Smith,AR-OK,289693,1
Fort Collins-Loveland_CO,Fort Collins-Loveland,CO,287574,1
Huntington-Ashland_WV-KY-OH,Huntington-Ashland,WV-KY-OH,284026,1
Columbus_GA-AL,Columbus,GA-AL,282756,1
Erie_PA,Erie,PA,279092,1
Spartanburg_SC,Spartanburg,SC,275534,1
